,Pool Name,Pool ID,Predicted APR (%),Performance Class,Risk Score,Type,TVL (M)
14,SOL/POOP,Fvs9K3oRKzUygQkz4545Vk3k2vNehx4fvudwLxUv6W1y,506.96149881242343,medium,0.5,Liquidity Pool,0.40705991999999996
0,SOL/POOP,Fvs9K3oRKzUygQkz4545Vk3k2vNehx4fvudwLxUv6W1y,478.9216659583731,medium,0.5,Liquidity Pool,0.40705991999999996
28,SOL/POOP,Fvs9K3oRKzUygQkz4545Vk3k2vNehx4fvudwLxUv6W1y,473.0206853113934,medium,0.5,Liquidity Pool,0.40705991999999996
29,Fartcoin/USDC,3MjwoqZHAAbCQLBSn6DtmgL6rpazvgYaxBYGHaxiQYTx,457.06140015221405,medium,0.5,Liquidity Pool,0.19158495
1,Fartcoin/USDC,3MjwoqZHAAbCQLBSn6DtmgL6rpazvgYaxBYGHaxiQYTx,439.4122158816203,medium,0.5,Liquidity Pool,0.19158495
15,Fartcoin/USDC,3MjwoqZHAAbCQLBSn6DtmgL6rpazvgYaxBYGHaxiQYTx,434.7629019892351,medium,0.5,Liquidity Pool,0.19158495
16,SOL/Fartcoin,6U4TBh3aJgiJ5EqCDEua4rP75HsqcfHapMKhhyuTqGuo,285.0377966159008,medium,0.5,Liquidity Pool,0.40114542999999997
30,SOL/Fartcoin,6U4TBh3aJgiJ5EqCDEua4rP75HsqcfHapMKhhyuTqGuo,267.9245040615812,medium,0.5,Liquidity Pool,0.40114542999999997
2,SOL/Fartcoin,6U4TBh3aJgiJ5EqCDEua4rP75HsqcfHapMKhhyuTqGuo,267.76647917905586,medium,0.5,Liquidity Pool,0.40114542999999997
17,LAYER/SOL,G6drsaPCR3pxsEmSTAc81kW1EL3kFAFwtSAkzUZXmgH3,149.49024113287305,medium,0.5,Liquidity Pool,3.8984621
4,BOOP/USDC,x4ND6LEXnrj3ufeCTY8RSuo3qbktirsz4tqPus5SjrH,148.44494061617795,medium,0.5,Liquidity Pool,1.8862343799999999
31,LAYER/SOL,G6drsaPCR3pxsEmSTAc81kW1EL3kFAFwtSAkzUZXmgH3,147.35862639313928,medium,0.5,Liquidity Pool,3.8984621
18,BOOP/USDC,x4ND6LEXnrj3ufeCTY8RSuo3qbktirsz4tqPus5SjrH,146.279876489081,medium,0.5,Liquidity Pool,1.8862343799999999
32,BOOP/USDC,x4ND6LEXnrj3ufeCTY8RSuo3qbktirsz4tqPus5SjrH,143.6872836982648,medium,0.5,Liquidity Pool,1.8862343799999999
3,LAYER/SOL,G6drsaPCR3pxsEmSTAc81kW1EL3kFAFwtSAkzUZXmgH3,143.3360466455002,medium,0.5,Liquidity Pool,3.8984621
